Seq_ID,CST_11,CST,SilhouetteValues,LactobacillusPercentage,LDominant_CST,LDominant_RelAbundance
G543,IV - Gardnerella,IV,0.4205610602867793,0.037897928246589184,LDepleted,LDepleted
G399,IV - Gardnerella,IV,0.28705730538016344,0.03974167908594138,LDepleted,LDepleted
G113,I,I,0.8639530560725118,99.60918417195896,LDominant,LDominant
G057,III,III,0.316370231359856,99.69276823696235,LDominant,LDominant
G237,I,I,0.8721549803501952,99.92682201742551,LDominant,LDominant
G138,III,III,0.7043288951055543,98.99934088321649,LDominant,LDominant
G136,III,III,0.5855952251067665,94.28653004251,LDominant,LDominant
G531,III,III,0.6073479460330099,95.06426301431505,LDominant,LDominant
G515,III,III,0.7209157054319525,99.61726476941149,LDominant,LDominant
G344,III,III,0.6920822261609995,98.56526674233825,LDominant,LDominant
G020,I,I,0.8787085467740342,99.88950276243094,LDominant,LDominant
G008,I,I,0.8714113670819178,99.9752984767394,LDominant,LDominant
G033,I,I,0.8815700578129496,99.93752402921953,LDominant,LDominant
G557,V,V,0.6062398595471306,99.76993186443678,LDominant,LDominant
G509,V,V,0.6083131317290943,99.88528123479107,LDominant,LDominant
G508,V,V,0.6067644424925127,99.92437065581446,LDominant,LDominant
R11,IV - Gardnerella + L. gasseri,IV,0.27728289700994074,21.248729818222873,LDepleted,LDepleted
R9,IV - Gardnerella + L. gasseri,IV,-0.21112945748688153,88.25829894684979,LDepleted,LDominant
R10,II,II,0.5141594058926117,96.96080827833455,LDominant,LDominant
G418,V - Mix L.iners,V,0.7050750124579495,99.9871122948707,LDominant,LDominant
G527,V - Mix L.iners,V,0.3620640290114871,99.91223365351797,LDominant,LDominant
G355,V - Mix L.iners,V,0.6961583813347592,99.92857142857143,LDominant,LDominant
G058,I,I,0.348761706646573,63.66568636751732,LDominant,LDepleted
G140,I,I,0.35651523941635843,63.12985296547167,LDominant,LDepleted
G373,II,VII,0.06738416108461028,99.98745058668507,LDominant,LDominant
G376,II,II,0.28064139772105867,99.95626312106369,LDominant,LDominant
G388,II,II,0.35487865508592725,99.97726032381298,LDominant,LDominant
G077,I,I,0.8557191408897273,99.93493214352111,LDominant,LDominant
G105,I,I,0.8690915776095373,99.99489548505653,LDominant,LDominant
G191,I,I,0.8585148606351141,99.68449931412894,LDominant,LDominant
G009,IV - Gardnerella,IV,0.23121014630769438,30.116798141013877,LDepleted,LDepleted
G214,I,I,0.8824324071099023,99.90123200083173,LDominant,LDominant
